ProgressVariable,EnthalpyTot,MixtureFraction,Temperature,MolarWeightMix,DiffusionCoefficient,Conductivity,ViscosityDyn,Cp,Beta_ProgVar,Beta_Enth_Thermal,Beta_Enth,Beta_MixFrac,ProdRateTot_PV,Heat_Release,FlameletID
0.005771974702195985,33469.744665502105,0.014238023588074734,1637.0814476441328,26.497652272259046,0.00043465640311231806,0.12248402922651513,5.8288765851196474e-05,1428.610604262016,0.004135222009389131,1321.0426537237825,-913713.3343557981,-0.007066971479058727,0.14335553947417598,24531864.122838553,3.0
-0.006849655584191586,26276.726767107666,0.010238364678675574,1010.86857261881,26.325954184665292,0.00020798713076452115,0.08466535495699919,4.2405879621331114e-05,1282.6283151630978,-0.010772296274578297,1087.3131074868527,-349532.70838160894,0.00010033244219014506,31.588989573565257,2192355282.877005,1.0
0.008647175607803361,42219.713826712294,0.016999965738045637,1759.6675839042557,25.935902884771085,0.0005068433883538397,0.13529325163414352,6.119387555381572e-05,1486.1052933331716,0.005190949035676157,1337.932334369624,-958171.2261629789,-0.005003852249647627,1.9326358733992823,330575170.0262181,9.0
0.005274131090948746,-26104.927546562678,0.014084348142012133,1546.1083620046616,26.445573810855002,0.00039739358941074635,0.11706306131969411,5.610599062155346e-05,1413.2006423188775,0.003569413402417917,1303.7284233237865,-860891.5984120921,-0.00681194876722272,2.5324431473013105,281791332.2551274,0.0
-0.018624133235302726,28888.3367480018,0.011807629091825375,530.9190089439007,25.11862917873203,8.19576908456689e-05,0.05668223906269565,2.7677879247813696e-05,1199.5241333810425,-0.030666177700880894,788.0049018084562,-53818.59069333611,0.016281085336783373,5.822626172663166,863133240.2478367,8.0
-0.02500792549230766,34827.70458299582,0.015069424923504828,335.12390965714957,24.032183382501294,4.1605682779772505e-05,0.04421689559836978,2.0098279450015286e-05,1216.090206548671,-0.044115773486380634,631.053535244827,15394.36093611454,0.029411775659019344,0.0006965873598803597,158607.8873908379,6.0
-0.023875201971343827,50781.619928948734,0.013575726694884403,341.2724582807171,24.434549715099866,4.159227966069673e-05,0.043436615372373,2.039698060010628e-05,1196.8995267963244,-0.040499857625885934,669.3606354333175,22179.8794824204,0.02517612410366349,1.2099037524303033e-07,43.04307375392183,2.0
-0.024616636007355024,2263.025983023122,0.014454561516100806,300.0003971807944,24.19561077130836,3.3838533031126545e-05,0.039987798936149406,1.8518324780731417e-05,1202.3164396074585,-0.04271970144682245,645.6012969816836,1021.7783428138351,0.027725445434151466,9.84286513064895e-12,0.0005346402676900086,0.0
-0.02410492032568909,14587.776129371952,0.013844014509858924,310.5214819619771,24.36107799705934,3.547408839882044e-05,0.0405583995815766,1.9012113090383304e-05,1195.8655930190782,-0.04118176582988783,661.5304614614196,6448.068706326257,0.025957047143521435,1.3512423050835122e-08,3.051977815164422,5.0
-0.025332866446941972,45392.914425276824,0.015402593363087375,340.8444569717394,23.94258809955741,4.317176822842319e-05,0.04513979007469907,2.0349995999749033e-05,1221.4146440635748,-0.045016937007462024,621.9050724044118,21408.25309521306,0.030418516982461515,0.0005326217213166101,87270.41820350946,11.0
