Density,Energy,s,dsdrho_e,dsde_rho,d2sdrho2,d2sdedrho,d2sde2,T,p,c2,dTdrho_e,dTde_rho,dpdrho_e,dpde_rho,dhdrho_e,dhde_rho,dhdrho_p,dhdp_rho,dsdp_rho,dsdrho_p,cp
25.749948352325305,351504.18873186957,862.6288120589522,-1.690041391758627,0.0020984324290154238,0.07642486958663242,-8.233778077799184e-07,-2.2718443143109273e-09,476.5461999980604,534016.9926690371,18213.206893857277,0.18698603778457404,0.000515927394183496,17538.040549993715,0.8383173085889861,-124.29248359754206,1.0325560772829,-21725.91059167422,1.2317007733275207,0.0025031481606259576,-45.59035533545885,2048.360581268405
25.749948352325305,368549.4141649608,898.0720274900104,-1.703555879215998,0.0020605817585955077,0.07645843501859038,-7.636100102649033e-07,-2.170568349074462e-09,485.2998410903141,548175.0404919947,18857.44649898554,0.17984232612498627,0.0005112034358682682,18176.91819357948,0.8231512857523609,-120.83424594840086,1.0319671043409306,-22908.84655759217,1.2536785426966952,0.002503284383152162,-47.20555132703792,2062.2606333156205
25.749948352325305,385594.63959805126,932.8844394916498,-1.7161131583540619,0.0020243975477151257,0.0764894576718366,-7.108803300965606e-07,-2.0761990526121e-09,493.9741214015344,562086.0970402904,19487.77351368219,0.1734622168839419,0.000506614229021523,18801.711553662593,0.8093068587483813,-117.55046962402523,1.03142945561191,-24079.585268584826,1.2744602921159573,0.0025013967518401127,-48.74665336772039,2076.5184449320227
25.749948352325305,402639.86503114377,967.0934813676403,-1.727824263812385,0.0019897675542093775,0.07651815294825377,-6.641665336673086e-07,-1.9881053437240403e-09,502.57126662081106,575771.2139504116,20105.601339351448,0.16775377373411976,0.0005021514290235809,19413.858034581168,0.7966136443971844,-114.41708221041338,1.0309365142600468,-25238.83626744281,1.2941487024618816,0.0024977824171152374,-50.21941751096061,2091.052783136871
25.749948352325305,419685.0904642354,1000.7247613714901,-1.7387840605610723,0.0019565896739260694,0.07654470522515917,-6.225901395023689e-07,-1.905727972407233e-09,511.09336481031914,589248.6792762612,20712.1314945615,0.1626307720706162,0.000497807452840295,20014.58989544609,0.7849178750365933,-111.41381019114066,1.030482308713668,-26387.641501470316,1.3128536646787747,0.002492731706275452,-51.62978688103983,2105.798742632363
25.749948352325305,436730.3158973249,1033.8022253382917,-1.7490735348139497,0.001924770764277767,0.07656928321292332,-5.853985987454261e-07,-1.8285734930112785e-09,519.5423884024083,602534.3069022517,21308.376814554533,0.15801330309261227,0.0004935764079339034,20604.953670018564,0.7740831226190797,-108.52386125695558,1.030061540785544,-27527.24635367127,1.330685956955593,0.0024865168972621195,-52.983639002618226,2120.6999748764383
25.749948352325305,453775.5413304164,1066.348300240247,-1.7587618176187991,0.001894225587353838,0.07659204782714162,-5.519512860438307e-07,-1.7562064820269855e-09,527.9202259098203,615641.7363555921,21895.186692839714,0.153828693670288,0.0004894543337001125,21185.832069140426,0.7639907037202831,-105.73352588900802,1.0296696014014062,-28658.970045342485,1.3477514796808248,0.002479383031926738,-54.28655436709491,2135.7045471146657
25.749948352325305,470820.76676350785,1098.3840208965917,-1.7679079859769693,0.0018648758916880994,0.07661315510462019,-5.217071436273746e-07,-1.6882412385222916e-09,536.2287133728737,628582.7340049566,22473.27278794547,0.15001231536727536,0.0004854389674030081,21757.967148282136,0.7545394065627894,-103.03173190207437,1.0293025599989079,-29784.094233486983,1.364146857071081,0.0024715420764878406,-55.54363929179642,2150.7634001490405
25.749948352325305,487865.9921965984,1129.9291422262013,-1.7765626591180916,0.0018366496328988656,0.07663275616676514,-4.942128945976782e-07,-1.6243339163306148e-09,544.4696593664714,641367.4833057198,23043.233646849854,0.14650803373499638,0.00048152925755689613,22321.983314611032,0.7456444900132081,-100.40958870049433,1.0289571256536472,-30903.78049523531,1.3799567212458321,0.0024631706630948644,-56.75941710176105,2165.8303918769707
25.749948352325305,504911.21762969,1161.0022393150246,-1.7847693960163988,0.0018094803204298314,0.07665099572353362,-4.690914995669887e-07,-1.564175660338727e-09,552.6448609081617,654004.8526980003,23605.5770385054,0.14326820999623716,0.0004777248088768862,22878.408908101144,0.7372360959052271,-97.85995320812967,1.028630585421685,-32019.019645966902,1.3952526078618879,0.002454410914604001,-57.93778592883325,2180.8630850694667
